,"United Airlines Holdings Inc - GJR-GARCH Volatility"
2006-01-27,0.6054161444824543
2006-01-30,0.591738543615337
2006-01-31,0.5865605953352134
2006-02-01,0.6058836125857837
2006-02-02,0.7372434903069677
2006-02-03,0.735039427513926
2006-02-06,0.7225457992404357
2006-02-07,0.7141887985679978
2006-02-08,0.7083375466541358
2006-02-09,0.7145433226893944
2006-02-10,0.6985221800343924
2006-02-13,0.6844713376029707
2006-02-14,0.6704434472794852
2006-02-15,0.6568122471452554
2006-02-16,0.648420308133544
2006-02-17,0.6386393630211029
2006-02-20,0.6240343548235144
2006-02-21,0.6325388841802534
2006-02-22,0.619611955985357
2006-02-23,0.6055499516968026
2006-02-24,0.5931054779716673
2006-02-27,0.580774679200118
2006-02-28,0.5678014336015716
2006-03-01,0.5567604296283996
2006-03-02,0.5444694702184871
2006-03-03,0.53373320301439
2006-03-06,0.5224524590812067
2006-03-07,0.5114994545451637
2006-03-08,0.5006492113246559
2006-03-09,0.4900668325851077
2006-03-10,0.48247178943436686
2006-03-13,0.4723538974116759
2006-03-14,0.46493360429205377
2006-03-15,0.4566621363765557
2006-03-16,0.4483491358305489
2006-03-17,0.439285725240418
2006-03-20,0.4341845639817242
2006-03-21,0.4280058186520366
2006-03-22,0.4305047121693328
2006-03-23,0.43147770927360785
2006-03-24,0.4228692989565452
2006-03-27,0.41591310582860935
2006-03-28,0.43353629744232486
2006-03-29,0.4257789525093978
2006-03-30,0.4447890933914635
2006-03-31,0.4392819390778546
2006-04-03,0.43817014914300134
2006-04-04,0.4293878610300948
2006-04-05,0.4211382176910569
2006-04-06,0.4151304609396907
2006-04-07,0.4071597745357466
2006-04-10,0.41475009873416546
2006-04-11,0.4080559461642484
2006-04-12,0.4017639426329844
2006-04-13,0.39548981225816676
2006-04-14,0.3880020376235156
2006-04-17,0.3901506447514857
2006-04-18,0.3907738645303701
2006-04-19,0.3835835945397039
2006-04-20,0.40005895265573055
2006-04-21,0.47483970053061064
2006-04-24,0.4777370569675331
2006-04-25,0.46812448728943884
2006-04-26,0.4586800806662526
2006-04-27,0.4546779414046826
2006-04-28,0.4546049146236763
2006-05-01,0.4529533724347353
2006-05-02,0.4463535903294607
2006-05-03,0.4494786940445565
2006-05-04,0.4448014159150126
2006-05-05,0.4362835215774256
2006-05-08,0.5704866133398749
2006-05-09,0.558852574477384
2006-05-10,0.5507632994308898
2006-05-11,0.549815361735192
2006-05-12,0.5381504993958475
2006-05-15,0.5268978496824598
2006-05-16,0.5338247914812501
2006-05-17,0.5222539382331166
2006-05-18,0.513005543829694
2006-05-19,0.5031778294003025
2006-05-22,0.5016681305404999
2006-05-23,0.49646494861168194
2006-05-24,0.5098154489616806
2006-05-25,0.49913648394001414
2006-05-26,0.4897320924750593
2006-05-29,0.47937347235740946
2006-05-30,0.5454987699344518
2006-05-31,0.5347197845601003
2006-06-01,0.5241336051046527
2006-06-02,0.528552222585432
2006-06-05,0.557456348066824
2006-06-06,0.5454414835708776
2006-06-07,0.5343864893501706
2006-06-08,0.5268151022892188
2006-06-09,0.515376111204235
2006-06-12,0.5188626060914392
2006-06-13,0.5081714868034215
2006-06-14,0.5018479303534089
2006-06-15,0.5354161110762358
2006-06-16,0.5300165129503042
2006-06-19,0.5185616414660845
2006-06-20,0.5075812762504149
2006-06-21,0.4978206689160264
2006-06-22,0.4875696873268477
2006-06-23,0.47728380990769004
2006-06-26,0.47460647783189813
2006-06-27,0.5185047810772818
2006-06-28,0.5091457315936175
2006-06-29,0.4985529400174068
2006-06-30,0.4939875208950121
2006-07-03,0.48354772422171527
2006-07-04,0.47337175581143415
