,"American Airlines Group Inc - GJR-GARCH Volatility"
2005-09-28,0.4794754446267296
2005-09-29,0.47472218781093434
2005-09-30,0.4731234020844879
2005-10-03,0.4677898297312587
2005-10-04,0.4641087962967304
2005-10-05,0.45691615598488083
2005-10-06,0.4510429593730513
2005-10-07,0.44954582680745686
2005-10-10,0.44270612826117506
2005-10-11,0.43761667884119776
2005-10-12,0.4325563958607016
2005-10-13,0.4261641359851858
2005-10-14,0.4226512221678768
2005-10-17,0.417562235361389
2005-10-18,0.4229360973007625
2005-10-19,0.41710247517846266
2005-10-20,0.41555523098620717
2005-10-21,0.4179270443510446
2005-10-24,0.4129060808464802
2005-10-25,0.4100312246646589
2005-10-26,0.40503289644175816
2005-10-27,0.3997365937714485
2005-10-28,0.40917454759552185
2005-10-31,0.4078969237442225
2005-11-01,0.40285810504444364
2005-11-02,0.43766383812236537
2005-11-03,0.4316349040566576
2005-11-04,0.42978294428699704
2005-11-07,0.423462160292983
2005-11-08,0.418485659969371
2005-11-09,0.4288122134454661
2005-11-10,0.4317897655109486
2005-11-11,0.4265192244201895
2005-11-14,0.42080493865923196
2005-11-15,0.41467402088869754
2005-11-16,0.4097240925305712
2005-11-17,0.40581908727904853
2005-11-18,0.422576447521629
2005-11-21,0.4326993381090385
2005-11-22,0.427292391694493
2005-11-23,0.42211856675583465
2005-11-25,0.4164138499137606
2005-11-28,0.4115911835790461
2005-11-29,0.40940999010771584
2005-11-30,0.40542974089230305
2005-12-01,0.4014851344695094
2005-12-02,0.39575183132867503
2005-12-05,0.4428529643120841
2005-12-06,0.44229979877906345
2005-12-07,0.4359979174262189
2005-12-08,0.4305623662142338
2005-12-09,0.42431840921647507
2005-12-12,0.41823598553926467
2005-12-13,0.41575975562817524
2005-12-14,0.41001960879938415
2005-12-15,0.40411330935766027
2005-12-16,0.4071717195483989
2005-12-19,0.40133804454599115
2005-12-20,0.39562646473662505
2005-12-21,0.39513961988137813
2005-12-22,0.3899168218992353
2005-12-23,0.38722174577365875
2005-12-27,0.38271769334589173
2005-12-28,0.3774437907821508
2005-12-29,0.3723605655812656
2005-12-30,0.36807989676155906
2006-01-03,0.363515935826753
2006-01-04,0.36917866893958
2006-01-05,0.3650763394141011
2006-01-06,0.36609884894656525
2006-01-09,0.3630606494788439
2006-01-10,0.36638515472109406
2006-01-11,0.4691272692990678
2006-01-12,0.46192387554660996
2006-01-13,0.46530476206460647
2006-01-17,0.6476509337598456
2006-01-18,0.6395027318159009
2006-01-19,0.632545457655021
2006-01-20,0.6370956411717161
2006-01-23,0.6262049696385361
2006-01-24,0.6236966666577592
2006-01-25,0.612985441915222
2006-01-26,0.6089702061677567
2006-01-27,0.6212455746321256
2006-01-30,0.6106250731832096
2006-01-31,0.6006012587399397
2006-02-01,0.5903846644349767
2006-02-02,0.5817958404801464
2006-02-03,0.5746986236280717
2006-02-06,0.5660821459823654
2006-02-07,0.5576127365833747
2006-02-08,0.5520577795847098
2006-02-09,0.5433647172940106
2006-02-10,0.5360269172345732
2006-02-13,0.5322497834663721
2006-02-14,0.5324937971469715
2006-02-15,0.5265847282251926
2006-02-16,0.5195045177859381
2006-02-17,0.5116610245074369
2006-02-21,0.5084471299948501
2006-02-22,0.5045561931043955
2006-02-23,0.49964137819039767
2006-02-24,0.5060336471026409
2006-02-27,0.4982183629694915
2006-02-28,0.49105495578397335
2006-03-01,0.4842835727133432
2006-03-02,0.47665376868330755
2006-03-03,0.4830506060445427
2006-03-06,0.47546204895869454
2006-03-07,0.4693566643822158
2006-03-08,0.46602896862748777
2006-03-09,0.46357702660938666
2006-03-10,0.45699838074111376
2006-03-13,0.4505386416279963
2006-03-14,0.4476515519910548
2006-03-15,0.4440707092344641
2006-03-16,0.43736187899724416
2006-03-17,0.431005547064072
2006-03-20,0.43208692875392557
2006-03-21,0.425627351094828
2006-03-22,0.43923742053700293
2006-03-23,0.43494335217359054
2006-03-24,0.43002321890800266
2006-03-27,0.4242101582942115
2006-03-28,0.4443029736564904
2006-03-29,0.43761259031248173
2006-03-30,0.4315394670247439
2006-03-31,0.4427531723206509
2006-04-03,0.4375526400331737
2006-04-04,0.431101716071741
2006-04-05,0.42466249045565585
2006-04-06,0.41960861764267904
2006-04-07,0.4159162564747861
2006-04-10,0.4404348378591322
2006-04-11,0.435642051689228
2006-04-12,0.4290962283684162
2006-04-13,0.42649257719214767
2006-04-17,0.4516389832598599
2006-04-18,0.44478815856540066
2006-04-19,0.44364435756583226
2006-04-20,0.4388898084941139
2006-04-21,0.4330360908746521
2006-04-24,0.47122949186144963
2006-04-25,0.4653722651813277
2006-04-26,0.4582842301454415
2006-04-27,0.45484221571881384
2006-04-28,0.4560118932659542
2006-05-01,0.44937179350733625
2006-05-02,0.44861567070266284
2006-05-03,0.45259716923551346
2006-05-04,0.44576808095690296
2006-05-05,0.4395048368334528
2006-05-08,0.4436660838964367
2006-05-09,0.4678832046568887
2006-05-10,0.4732582715600437
2006-05-11,0.47128702973877823
2006-05-12,0.4710887725259434
2006-05-15,0.46862732954875774
2006-05-16,0.4823229080190987
2006-05-17,0.4837990607680011
2006-05-18,0.476272486713226
2006-05-19,0.4692265810884972
2006-05-22,0.4629188861992995
2006-05-23,0.4773470586481077
2006-05-24,0.48284350508213325
2006-05-25,0.47522359032354444
2006-05-26,0.47931154252740465
2006-05-30,0.4920661126312195
2006-05-31,0.49206260455352635
2006-06-01,0.4854854832021242
2006-06-02,0.47882402571299615
2006-06-05,0.4821012769118124
2006-06-06,0.4798422340728253
2006-06-07,0.47293974203908895
2006-06-08,0.4656811437024265
2006-06-09,0.45916159900409786
2006-06-12,0.5320347883362515
2006-06-13,0.5706661475854338
2006-06-14,0.5627149189420875
2006-06-15,0.56835970300506
2006-06-16,0.5592789858380163
2006-06-19,0.5524921718902449
2006-06-20,0.54483198144015
2006-06-21,0.5389772982232183
2006-06-22,0.5305867544520877
2006-06-23,0.5236944567207104
2006-06-26,0.5204708637378272
2006-06-27,0.5255193431263971
2006-06-28,0.5199694991054764
2006-06-29,0.5125322780079319
2006-06-30,0.5129453655117667
2006-07-03,0.5079678808743718
2006-07-05,0.5023312373324995
2006-07-06,0.49990708096605313
2006-07-07,0.4948822259891742
2006-07-10,0.4883000684005686
2006-07-11,0.5061041078671462
2006-07-12,0.5017190133929549
2006-07-13,0.5717710380912976
2006-07-14,0.5709471499184491
2006-07-17,0.5615625949081723
2006-07-18,0.55433363239118
2006-07-19,0.553087537375414
2006-07-20,0.5490191144213469
2006-07-21,0.5499317666765579
2006-07-24,0.5430671229231245
2006-07-25,0.5351531818087228
2006-07-26,0.5264006914889076
2006-07-27,0.5662321467384204
2006-07-28,0.5568203983332507
