,"US Global Jets ETF - GJR-GARCH Volatility"
2015-05-01,0.2858144635948293
2015-05-04,0.2794065811680176
2015-05-05,0.3065057115291655
2015-05-06,0.295277495925443
2015-05-07,0.28944669768370135
2015-05-08,0.2823537270871415
2015-05-11,0.27293182225603524
2015-05-12,0.27304227365007055
2015-05-13,0.26515023741267896
2015-05-14,0.25951392794992717
2015-05-15,0.25086770617199816
2015-05-18,0.24288458740727045
2015-05-19,0.2440432863243732
2015-05-20,0.3745741421935048
2015-05-21,0.35974335351747644
2015-05-22,0.35009066825609614
2015-05-26,0.3519961198649781
2015-05-27,0.3430453235361182
2015-05-28,0.33013236618059727
2015-05-29,0.3176092334929827
2015-06-01,0.31261601878342704
2015-06-02,0.30479795078051297
2015-06-03,0.29386282514125533
2015-06-04,0.2944280883339767
2015-06-05,0.28444030727026015
2015-06-08,0.32667353611824756
2015-06-09,0.31564585788506716
2015-06-10,0.3047998937007689
2015-06-11,0.2936544969858286
2015-06-12,0.284570689284754
2015-06-15,0.28142055148833744
2015-06-16,0.2730504414938749
2015-06-17,0.2637723245528234
2015-06-18,0.25620068852366495
2015-06-19,0.24932368840525365
2015-06-22,0.25078019778283933
2015-06-23,0.2426635448517144
2015-06-24,0.23997084572922606
2015-06-25,0.23247548774010565
2015-06-26,0.2316598756798423
2015-06-29,0.2795084335042505
2015-06-30,0.2702095386917346
2015-07-01,0.27287392473448246
2015-07-02,0.2635133400797766
2015-07-06,0.2554210782218257
2015-07-07,0.24836701230235872
2015-07-08,0.2662149289577878
2015-07-09,0.2598051754680803
2015-07-10,0.26983492954026544
2015-07-13,0.26288141889452743
2015-07-14,0.25430317497034916
2015-07-15,0.24596478040565076
2015-07-16,0.2385990813058592
2015-07-17,0.23160036528468603
2015-07-20,0.2385259306658293
2015-07-21,0.23316382909876912
2015-07-22,0.2276598699815143
2015-07-23,0.2212639907440883
2015-07-24,0.26258158732096964
2015-07-27,0.25480919214188485
2015-07-28,0.25520659866077133
2015-07-29,0.2488432277559508
2015-07-30,0.2409504007052074
2015-07-31,0.23338474500275294
2015-08-03,0.23575210200547525
2015-08-04,0.23157125728380024
2015-08-05,0.2247975489190218
2015-08-06,0.22176585219550823
2015-08-07,0.2167274998702287
2015-08-10,0.21123978034451749
2015-08-11,0.2077268369758708
2015-08-12,0.21324522503446589
2015-08-13,0.21028864163335118
2015-08-14,0.20491130569102328
2015-08-17,0.2013449011025608
2015-08-18,0.20049371461469812
2015-08-19,0.1960108354147801
2015-08-20,0.25128784371712054
2015-08-21,0.3352726502415609
2015-08-24,0.35841464423206815
2015-08-25,0.3500975424078267
2015-08-26,0.3465692294477396
2015-08-27,0.3341459471548323
2015-08-28,0.3222729973174917
2015-08-31,0.31048321693772757
2015-09-01,0.3019953125464036
2015-09-02,0.30327560732772424
2015-09-03,0.2927653934466982
2015-09-04,0.28226245446392617
2015-09-08,0.27839764007620466
2015-09-09,0.26870168514544157
2015-09-10,0.2595534950641197
2015-09-11,0.2515042122907686
2015-09-14,0.24358975840539768
2015-09-15,0.23615105928197738
2015-09-16,0.2309227507198024
2015-09-17,0.22843962878625065
2015-09-18,0.23169821751580222
2015-09-21,0.22486575194991346
2015-09-22,0.2702964905432551
2015-09-23,0.26107475481172054
2015-09-24,0.2607327390259996
2015-09-25,0.2524081694398975
2015-09-28,0.294956344566446
2015-09-29,0.28467759869719295
2015-09-30,0.2763739510156484
