Date,AAL,DAL,JETS,LUV,UAL
1980-01-02,,,,0.15793491899967194,
1980-01-03,,,,0.15702763199806213,
1980-01-04,,,,0.15975011885166168,
1980-01-07,,,,0.15611952543258667,
1980-01-08,,,,0.15067380666732788,
1980-01-09,,,,0.1470433473587036,
1980-01-10,,,,0.1543043851852417,
1980-01-11,,,,0.1543043851852417,
1980-01-14,,,,0.1524890512228012,
1980-01-15,,,,0.1543043851852417,
1980-01-16,,,,0.1543043851852417,
1980-01-17,,,,0.1543043851852417,
1980-01-18,,,,0.16701187193393707,
1980-01-21,,,,0.16338130831718445,
1980-01-22,,,,0.161565363407135,
1980-01-23,,,,0.1543043851852417,
1980-01-24,,,,0.15611952543258667,
1980-01-25,,,,0.15611952543258667,
1980-01-28,,,,0.1524890512228012,
1980-01-29,,,,0.1543043851852417,
1980-01-30,,,,0.1470433473587036,
1980-01-31,,,,0.1524890512228012,
1980-02-01,,,,0.15611952543258667,
1980-02-04,,,,0.15975011885166168,
1980-02-05,,,,0.16428866982460022,
1980-02-06,,,,0.1651967316865921,
1980-02-07,,,,0.16065815091133118,
1980-02-08,,,,0.15611952543258667,
1980-02-11,,,,0.15521232783794403,
1980-02-12,,,,0.15702763199806213,
1980-02-13,,,,0.15611952543258667,
1980-02-14,,,,0.1524890512228012,
1980-02-15,,,,0.14976586401462555,
1980-02-19,,,,0.14976586401462555,
1980-02-20,,,,0.14885865151882172,
1980-02-21,,,,0.1470433473587036,
1980-02-22,,,,0.14250487089157104,
1980-02-25,,,,0.14159667491912842,
1980-02-26,,,,0.14341196417808533,
1980-02-27,,,,0.14068946242332458,
1980-02-28,,,,0.13887427747249603,
1980-02-29,,,,0.14068946242332458,
1980-03-03,,,,0.14400634169578552,
1980-03-04,,,,0.1449183076620102,
1980-03-05,,,,0.14036092162132263,
1980-03-06,,,,0.136715367436409,
1980-03-07,,,,0.13306981325149536,
1980-03-10,,,,0.1339806616306305,
1980-03-11,,,,0.13215795159339905,
1980-03-12,,,,0.13762708008289337,
1980-03-13,,,,0.14036092162132263,
1980-03-14,,,,0.13853810727596283,
1980-03-17,,,,0.13762708008289337,
1980-03-18,,,,0.14218367636203766,
1980-03-19,,,,0.14400634169578552,
1980-03-20,,,,0.14674106240272522,
1980-03-21,,,,0.1449183076620102,
1980-03-24,,,,0.14036092162132263,
1980-03-25,,,,0.1358034610748291,
1980-03-26,,,,0.14218367636203766,
1980-03-27,,,,0.13762708008289337,
1980-03-28,,,,0.14218367636203766,
1980-03-31,,,,0.14218367636203766,
1980-04-01,,,,0.14400634169578552,
1980-04-02,,,,0.14400634169578552,
1980-04-03,,,,0.14309550821781158,
1980-04-07,,,,0.14036092162132263,
1980-04-08,,,,0.13853810727596283,
1980-04-09,,,,0.13853810727596283,
1980-04-10,,,,0.136715367436409,
1980-04-11,,,,0.13762708008289337,
1980-04-14,,,,0.13762708008289337,
1980-04-15,,,,0.1358034610748291,
1980-04-16,,,,0.134892538189888,
1980-04-17,,,,0.13215795159339905,
1980-04-18,,,,0.1294240951538086,
1980-04-21,,,,0.1294240951538086,
1980-04-22,,,,0.1312469244003296,
1980-04-23,,,,0.1339806616306305,
1980-04-24,,,,0.13306981325149536,
1980-04-25,,,,0.1312469244003296,
1980-04-28,,,,0.1312469244003296,
1980-04-29,,,,0.1339806616306305,
1980-04-30,,,,0.136715367436409,
1980-05-01,,,,0.1358034610748291,
1980-05-02,,,,0.14309550821781158,
1980-05-05,,,,0.1449183076620102,
1980-05-06,,,,0.14218367636203766,
1980-05-07,,,,0.14218367636203766,
1980-05-08,,,,0.14400634169578552,
1980-05-09,,,,0.14309550821781158,
1980-05-12,,,,0.1449183076620102,
1980-05-13,,,,0.15312106907367706,
1980-05-14,,,,0.16496969759464264,
1980-05-15,,,,0.1604122817516327,
1980-05-16,,,,0.1695270836353302,
1980-05-19,,,,0.16588152945041656,
1980-05-20,,,,0.16770416498184204,
1980-05-21,,,,0.16861526668071747,
1980-05-22,,,,0.17499540746212006,
1980-05-23,,,,0.17681829631328583,
1980-05-27,,,,0.17864100635051727,
1980-05-28,,,,0.17864100635051727,
1980-05-29,,,,0.1759071946144104,
1980-05-30,,,,0.17499540746212006,
1980-06-02,,,,0.18228739500045776,
1980-06-03,,,,0.20416146516799927,
1980-06-04,,,,0.198693186044693,
1980-06-05,,,,0.2005159556865692,
1980-06-06,,,,0.2011009007692337,
1980-06-09,,,,0.2011009007692337,
1980-06-10,,,,0.2047569751739502,
1980-06-11,,,,0.20749959349632263,
1980-06-12,,,,0.20567066967487335,
1980-06-13,,,,0.20932777225971222,
1980-06-16,,,,0.21663999557495117,
1980-06-17,,,,0.22029632329940796,
1980-06-18,,,,0.21938271820545197,
1980-06-19,,,,0.21663999557495117,
1980-06-20,,,,0.2120695561170578,
1980-06-23,,,,0.21389760076999664,
1980-06-24,,,,0.21846812963485718,
1980-06-25,,,,0.21938271820545197,
1980-06-26,,,,0.21755455434322357,
1980-06-27,,,,0.21663999557495117,
1980-06-30,,,,0.21846812963485718,
1980-07-01,,,,0.2157265841960907,
1980-07-02,,,,0.21663999557495117,
1980-07-03,,,,0.21846812963485718,
1980-07-07,,,,0.21846812963485718,
1980-07-08,,,,0.22029632329940796,
1980-07-09,,,,0.22303888201713562,
1980-07-10,,,,0.21938271820545197,
1980-07-11,,,,0.22121068835258484,
1980-07-14,,,,0.23583641648292542,
1980-07-15,,,,0.23766456544399261,
1980-07-16,,,,0.24040691554546356,
1980-07-17,,,,0.2431487739086151,
1980-07-18,,,,0.2614305913448334,
