,"Southwest Airlines Co - GJR-GARCH Volatility"
1990-01-03,0.3740360153781986
1990-01-04,0.36043299959909336
1990-01-05,0.34840454761670375
1990-01-08,0.338003389923829
1990-01-09,0.39576596720789425
1990-01-10,0.4182628274183591
1990-01-11,0.4683686855459063
1990-01-12,0.4524160660277219
1990-01-15,0.43702788286332483
1990-01-16,0.4395471496893138
1990-01-17,0.44655738354661656
1990-01-18,0.4277155709113242
1990-01-19,0.4101037702825957
1990-01-22,0.4045195283295975
1990-01-23,0.39984611339864246
1990-01-24,0.38886654060229975
1990-01-25,0.37532859363496407
1990-01-26,0.36125047321768317
1990-01-29,0.3481570197482739
1990-01-30,0.3374079501138051
1990-01-31,0.32660221126011996
1990-02-01,0.32590434240740024
1990-02-02,0.35912905145643675
1990-02-05,0.35398686077310837
1990-02-06,0.3522283940854286
1990-02-07,0.3707888833285054
1990-02-08,0.4034463310032699
1990-02-09,0.3896053141321355
1990-02-12,0.380149654215284
1990-02-13,0.3680221433555324
1990-02-14,0.3564147320187536
1990-02-15,0.3442481738513656
1990-02-16,0.33296556038125025
1990-02-20,0.344552892891643
1990-02-21,0.3375666227576417
1990-02-22,0.3319076028053591
1990-02-23,0.32092758809426153
1990-02-26,0.31624079622970847
1990-02-27,0.31151868258581217
1990-02-28,0.30436710203305484
1990-03-01,0.30954993199805425
1990-03-02,0.31862470525682723
1990-03-05,0.310995262986432
1990-03-06,0.302741515488048
1990-03-07,0.3059286622727593
1990-03-08,0.30181430781193924
1990-03-09,0.2945987902215486
1990-03-12,0.2951503921732106
1990-03-13,0.29157616569260253
1990-03-14,0.28490514000277356
1990-03-15,0.27880688800673487
1990-03-16,0.27244545215510574
1990-03-19,0.2683349257923761
1990-03-20,0.2623236367542963
1990-03-21,0.2626438166033992
1990-03-22,0.2584857380978688
1990-03-23,0.25330989558246636
1990-03-26,0.2627642989448909
1990-03-27,0.26667051805552106
1990-03-28,0.2621527302928581
1990-03-29,0.25666325331063655
1990-03-30,0.25220121966398185
1990-04-02,0.24899609635494288
1990-04-03,0.24691815972098932
1990-04-04,0.24848894059897317
1990-04-05,0.24418466045188017
1990-04-06,0.24200488094251324
1990-04-09,0.24083517184996048
1990-04-10,0.24701596304692536
1990-04-11,0.2628980981292942
1990-04-12,0.25783186847246015
1990-04-16,0.273891942926403
1990-04-17,0.2686474723499181
1990-04-18,0.2680795031329326
1990-04-19,0.26360618126288315
1990-04-20,0.26373429811080695
1990-04-23,0.281044790736281
1990-04-24,0.2739859580343489
1990-04-25,0.28159341114450814
1990-04-26,0.27662039404208794
1990-04-27,0.2823848735325602
1990-04-30,0.2752174100597562
1990-05-01,0.2775803753870219
1990-05-02,0.27899916128906194
1990-05-03,0.276449803038454
1990-05-04,0.27172576469668824
1990-05-07,0.26967168038190437
1990-05-08,0.27997722407367354
1990-05-09,0.2997593454756665
1990-05-10,0.2956017510096989
1990-05-11,0.28779108047331836
1990-05-14,0.2801887963498898
1990-05-15,0.28348524406042724
1990-05-16,0.2767400729926911
1990-05-17,0.2700324247196992
1990-05-18,0.2652278265944205
1990-05-21,0.2614753120277324
1990-05-22,0.2580288821043102
1990-05-23,0.2542593219530013
1990-05-24,0.24944888694880962
1990-05-25,0.24627374037846583
1990-05-29,0.24426421514417543
1990-05-30,0.24177407057002623
1990-05-31,0.23931935483784006
1990-06-01,0.237991752798285
1990-06-04,0.23521017835119296
1990-06-05,0.23671558123621692
1990-06-06,0.24487595145297547
1990-06-07,0.24093371868628102
1990-06-08,0.24947025233482248
1990-06-11,0.24556093500392118
1990-06-12,0.24274852914075504
1990-06-13,0.2394505209850252
1990-06-14,0.2820588257793044
1990-06-15,0.27606604427201836
1990-06-18,0.2811706079945057
1990-06-19,0.2762936546502652
1990-06-20,0.27722713503551555
1990-06-21,0.2704795807450167
1990-06-22,0.26546007835454277
1990-06-25,0.2916411946210617
1990-06-26,0.2882167621773585
1990-06-27,0.2805804333876473
1990-06-28,0.27783885473417863
1990-06-29,0.27546305814028854
1990-07-02,0.29691050772918093
1990-07-03,0.29277077313147226
1990-07-05,0.28594170734609525
1990-07-06,0.2789618554569782
1990-07-09,0.27383820551559274
1990-07-10,0.2691327471713541
1990-07-11,0.28078176863892
1990-07-12,0.2806346307924238
1990-07-13,0.280255028857646
1990-07-16,0.28976069298647117
1990-07-17,0.2829702606282151
1990-07-18,0.2773173388015975
1990-07-19,0.281015199588919
1990-07-20,0.2743300063791783
1990-07-23,0.2927338019429939
1990-07-24,0.30089676369146945
1990-07-25,0.3510172457301778
1990-07-26,0.3456003229165158
1990-07-27,0.33362297942437963
1990-07-30,0.3254247396864596
1990-07-31,0.32238569509207443
1990-08-01,0.3121120010509048
1990-08-02,0.31706960119191496
1990-08-03,0.46222998820933286
1990-08-06,0.8354430896237038
1990-08-07,0.7942614531752124
1990-08-08,0.7711346730630131
1990-08-09,0.7332612003917839
1990-08-10,0.7108031373031496
1990-08-13,0.681567516831605
1990-08-14,0.6507775749055894
1990-08-15,0.6233147294906483
1990-08-16,0.5935766976558295
1990-08-17,0.5656129701483161
1990-08-20,0.5395868753036901
1990-08-21,0.5212587495668539
1990-08-22,0.5007897762534694
1990-08-23,0.49165347308851587
1990-08-24,0.47528509844092526
1990-08-27,0.45752625760714544
1990-08-28,0.4383446630221474
1990-08-29,0.4255337349729161
1990-08-30,0.4121008177618676
1990-08-31,0.395523326745718
1990-09-04,0.3876648103710214
1990-09-05,0.3727372307671988
1990-09-06,0.36042558843678124
1990-09-07,0.3473903832865844
1990-09-10,0.335284149938526
1990-09-11,0.32405625622721745
1990-09-12,0.32927502547262827
1990-09-13,0.3222343277802661
1990-09-14,0.31197196604823324
1990-09-17,0.340715017573338
1990-09-18,0.38571425019047456
1990-09-19,0.37092023293425236
1990-09-20,0.562253690072373
1990-09-21,0.5391021201961648
1990-09-24,0.6041006373113672
1990-09-25,0.5775895566922934
1990-09-26,0.5686110445638565
1990-09-27,0.5509707578447336
1990-09-28,0.5396643957127429
1990-10-01,0.5223986753428841
1990-10-02,0.5273032675794831
1990-10-03,0.5204766738289047
1990-10-04,0.5052886026816753
1990-10-05,0.4827169779487769
1990-10-08,0.46513066551239124
1990-10-09,0.4543723147375949
1990-10-10,0.43590837844666397
1990-10-11,0.45730583420726223
1990-10-12,0.4388558159578155
1990-10-15,0.4362282411765657
1990-10-16,0.4189456766694222
1990-10-17,0.40297746984167737
1990-10-18,0.4575483161372141
1990-10-19,0.4631644416403315
1990-10-22,0.483524376221096
1990-10-23,0.4629570450916586
1990-10-24,0.4574096409128256
1990-10-25,0.43786753202309947
1990-10-26,0.4345663272735245
1990-10-29,0.41845247902240945
1990-10-30,0.40145252571132245
1990-10-31,0.3874080546400655
1990-11-01,0.3747396728396928
1990-11-02,0.36162125435322523
1990-11-05,0.3493000681362659
1990-11-06,0.3391361142668235
1990-11-07,0.3370149794890429
1990-11-08,0.36356795898428673
1990-11-09,0.372182601957695
1990-11-12,0.3869031181058121
1990-11-13,0.37284369808272205
1990-11-14,0.36680941972637504
1990-11-15,0.385630287710911
1990-11-16,0.37084202674454253
1990-11-19,0.37675715679997374
1990-11-20,0.36341727586893835
1990-11-21,0.368670672552076
1990-11-23,0.3569733872433631
1990-11-26,0.35287081432161543
1990-11-27,0.3438788862375822
1990-11-28,0.3320257965881567
1990-11-29,0.3210738419740855
1990-11-30,0.32533726254457856
1990-12-03,0.4026310986498683
1990-12-04,0.3891267700891317
1990-12-05,0.38866173930553033
1990-12-06,0.40263701320171746
1990-12-07,0.3925171017930302
1990-12-10,0.4141560531973425
1990-12-11,0.3980976533465125
1990-12-12,0.3917314901817315
1990-12-13,0.4472609842139151
1990-12-14,0.4342944194898202
1990-12-17,0.4162509978366418
1990-12-18,0.40192278960019173
1990-12-19,0.40034863656568137
1990-12-20,0.3845595844599378
1990-12-21,0.37754762931317687
1990-12-24,0.37957452074658543
1990-12-26,0.37169718643002936
1990-12-27,0.37436667159350606
1990-12-28,0.3624775198546801
1990-12-31,0.3501665283832822
1991-01-02,0.35699904705755164
1991-01-03,0.3451140646221188
1991-01-04,0.36725405484487167
1991-01-07,0.36245085735862176
1991-01-08,0.39980366431537373
1991-01-09,0.38471551307427154
1991-01-10,0.3699899647287748
1991-01-11,0.3632012466938956
1991-01-14,0.3507782786889747
1991-01-15,0.35625094357769777
1991-01-16,0.388383258135569
1991-01-17,0.47590058961930276
1991-01-18,0.4569386024401965
1991-01-21,0.4529077217270644
1991-01-22,0.5006475502786367
1991-01-23,0.48495597862074036
1991-01-24,0.5247419365745414
1991-01-25,0.5819511010385666
1991-01-28,0.5599276703289452
1991-01-29,0.5339944718814981
1991-01-30,0.5302347027496409
1991-01-31,0.5175313555718146
1991-02-01,0.5328928297509735
1991-02-04,0.5281260531350447
1991-02-05,0.5115166976746702
1991-02-06,0.5264600497663616
1991-02-07,0.5184768345837643
1991-02-08,0.5061100828871126
1991-02-11,0.5101966562022923
1991-02-12,0.5109986575324832
1991-02-13,0.4904358233245203
1991-02-14,0.5124634386958742
1991-02-15,0.5211446440288915
1991-02-19,0.5001697455864359
1991-02-20,0.4806575546061874
1991-02-21,0.45963299098302335
1991-02-22,0.4425190124729106
1991-02-25,0.4313394449850373
1991-02-26,0.4203923367522296
1991-02-27,0.4032638386962064
1991-02-28,0.39252076123435814
1991-03-01,0.3800847842258356
1991-03-04,0.3733033554630872
1991-03-05,0.3670215056369313
1991-03-06,0.36575541335706846
1991-03-07,0.3806054870860377
1991-03-08,0.373267339583843
1991-03-11,0.3627320184378545
1991-03-12,0.3577471710579973
1991-03-13,0.34634985838022225
1991-03-14,0.3357843432919409
1991-03-15,0.3698408760534725
1991-03-18,0.3594563845586833
1991-03-19,0.3611911743107797
1991-03-20,0.3484478704196656
1991-03-21,0.33716871741014176
1991-03-22,0.3269073446712386
1991-03-25,0.31674802982812694
1991-03-26,0.36899862438767983
1991-03-27,0.3602561388789926
1991-03-28,0.3501599794379706
1991-04-01,0.3381507539545048
1991-04-02,0.34223218960232243
1991-04-03,0.3332895929968411
1991-04-04,0.3350804040823635
1991-04-05,0.330879051014113
1991-04-08,0.3598975004081023
1991-04-09,0.35405939501727673
1991-04-10,0.3716144308285134
1991-04-11,0.3781761922702168
1991-04-12,0.37079211156657577
1991-04-15,0.3579198150424198
1991-04-16,0.3450619248772603
1991-04-17,0.33860325279004627
1991-04-18,0.34103667486063727
1991-04-19,0.35126623748945757
1991-04-22,0.3960962019509907
1991-04-23,0.47946283067616413
1991-04-24,0.45926929355226875
1991-04-25,0.464997394831412
1991-04-26,0.45180941026056554
1991-04-29,0.4980229079068552
1991-04-30,0.47590524939319595
1991-05-01,0.4635108387082227
1991-05-02,0.4438805636654978
1991-05-03,0.46924108132174447
